id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-426529,2024-01-02,000001,Vente en l'état futur d'achèvement,270000,50,,RUE PRESIDENT ROOSEVELT,2740,78500,78586,Sartrouville,78,,,78586000AV0520,,,49,,,,,,,,,,1,,,,,,,,,,2.167782,48.943982
2024-426530,2024-01-04,000001,Vente,162360,9,,ALL SAINT EXUPERY,0708,78340,78165,Les Clayes-sous-Bois,78,,,78165000AN0957,,,1048,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.972565,48.816975
2024-426530,2024-01-04,000001,Vente,162360,13,,ALL SAINT EXUPERY,0708,78340,78165,Les Clayes-sous-Bois,78,,,78165000AN0957,,,12,29.55,,,,,,,,,1,2,Appartement,30,1,,,,,,1.972565,48.816975
2024-426531,2024-01-05,000001,Vente,126000,6,,VLA DE L EPI D OR,0230,78210,78545,Saint-Cyr-l'École,78,,,78545000AM0297,,,206,42.04,257,,,,,,,,2,2,Appartement,44,2,,,,,,2.066716,48.796859
2024-426531,2024-01-05,000001,Vente,126000,6,,VLA DE L EPI D OR,0230,78210,78545,Saint-Cyr-l'École,78,,,78545000AM0297,,,206,42.04,257,,,,,,,,2,3,Dépendance,,0,,,,,,2.066716,48.796859
2024-426532,2024-01-05,000001,Vente,190000,43,,AV DE LA REPUBLIQUE,0590,78330,78242,Fontenay-le-Fleury,78,,,78242000AD0369,,,2,50,5,,,,,,,,2,3,Dépendance,,0,,,,,,2.045126,48.808802
2024-426532,2024-01-05,000001,Vente,190000,41,,AV DE LA REPUBLIQUE,0590,78330,78242,Fontenay-le-Fleury,78,,,78242000AD0369,,,10,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.045126,48.808802
2024-426532,2024-01-05,000001,Vente,190000,43,,AV DE LA REPUBLIQUE,0590,78330,78242,Fontenay-le-Fleury,78,,,78242000AD0369,,,2,50,5,,,,,,,,2,2,Appartement,51,2,,,,,,2.045126,48.808802
2024-426533,2024-01-04,000001,Vente,8000,,,LE BUISSON,B011,78113,78171,Condé-sur-Vesgre,78,,,78171000ZA0033,,,,,,,,,,,,,0,,,,,T,terres,,,4328,1.631467,48.7323
2024-426534,2024-01-04,000001,Vente,120000,2,,RUE ERIK SATIE,0216,78330,78242,Fontenay-le-Fleury,78,,,78242000AC0390,,,2190,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.050693,48.807893
2024-426534,2024-01-04,000001,Vente,120000,6,,RUE ERIK SATIE,0216,78330,78242,Fontenay-le-Fleury,78,,,78242000AC0390,,,2052,26.13,,,,,,,,,1,2,Appartement,26,1,,,,,,2.050693,48.807893
