id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-426601,2024-01-05,000001,Vente,188890,1,,AV CLEMENT ADER,0145,78190,78621,Trappes,78,,,78621000AX0132,,,54,65.14,,,,,,,,,1,2,Appartement,76,3,,,,,,1.987167,48.78033
2024-426601,2024-01-05,000001,Vente,188890,1,,AV CLEMENT ADER,0145,78190,78621,Trappes,78,,,78621000AX0132,,,108,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.987167,48.78033
2024-426602,2024-01-08,000001,Vente,70000,9,,CHE DU BEL OEIL,0012,78580,78049,Bazemont,78,,,78049000AM0110,,,,,,,,,,,,,0,1,Maison,105,4,AB,terrains a bâtir,,,1065,1.864011,48.924694
2024-426603,2024-01-10,000001,Vente,224000,5,B,CHE DES ARDILLES,0070,78680,78217,Épône,78,,,782170000A0129,,,1,58.3,,,,,,,,,1,3,Dépendance,,0,,,,,,1.808997,48.9643
2024-426603,2024-01-10,000001,Vente,224000,5,B,CHE DES ARDILLES,0070,78680,78217,Épône,78,,,782170000A0129,,,1,58.3,,,,,,,,,1,1,Maison,53,4,,,,,,1.808997,48.9643
2024-426604,2024-01-11,000001,Vente,352070,70,B,RUE DES FRILEUSES,0780,78930,78291,Guerville,78,,,78291000ZP0757,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,520,,
2024-426604,2024-01-11,000001,Vente,352070,70,B,RUE DES FRILEUSES,0780,78930,78291,Guerville,78,,,78291000ZP0757,,,,,,,,,,,,,0,1,Maison,128,5,S,sols,,,520,,
2024-426605,2024-01-09,000001,Vente,773000,29,,RUE DES EAUX,1010,78500,78586,Sartrouville,78,,,78586000AV0882,,,,,,,,,,,,,0,,,,,S,sols,,,185,2.174564,48.940437
2024-426605,2024-01-09,000001,Vente,773000,29,,RUE DES EAUX,1010,78500,78586,Sartrouville,78,,,78586000AV0883,,,,,,,,,,,,,0,1,Maison,255,6,S,sols,,,191,2.17449,48.940341
2024-426606,2024-01-03,000001,Vente,48000,39,,AV DU MARECHAL FOCH,0430,78130,78440,Les Mureaux,78,,,78440000AO0018,,,2,23.86,,,,,,,,,1,2,Appartement,24,1,,,,,,1.908252,48.995556
2024-426606,2024-01-03,000001,Vente,48000,39,,AV DU MARECHAL FOCH,0430,78130,78440,Les Mureaux,78,,,78440000AO0018,,,27,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.908252,48.995556
2024-426606,2024-01-03,000001,Vente,48000,39,,AV DU MARECHAL FOCH,0430,78130,78440,Les Mureaux,78,,,78440000AO0018,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.908252,48.995556
2024-426607,2024-01-09,000001,Vente,212550,9001,,SQ DE LA MOSELLE,0774,78310,78383,Maurepas,78,,,78383000AB0094,,,258,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.940301,48.774007
2024-426607,2024-01-09,000001,Vente,212550,4,,SQ DE LA MOSELLE,0774,78310,78383,Maurepas,78,,,78383000AB0094,,,190,89.05,218,,,,,,,,2,3,Dépendance,,0,,,,,,1.940301,48.774007
2024-426607,2024-01-09,000001,Vente,212550,4,,SQ DE LA MOSELLE,0774,78310,78383,Maurepas,78,,,78383000AB0094,,,190,89.05,218,,,,,,,,2,3,Dépendance,,0,,,,,,1.940301,48.774007
2024-426607,2024-01-09,000001,Vente,212550,4,,SQ DE LA MOSELLE,0774,78310,78383,Maurepas,78,,,78383000AB0094,,,190,89.05,218,,,,,,,,2,2,Appartement,87,3,,,,,,1.940301,48.774007
2024-426608,2024-01-11,000001,Vente,137000,32,,RUE DE L ORANGERIE,2110,78000,78646,Versailles,78,,,78646000BV0023,,,3,20.05,,,,,,,,,1,2,Appartement,21,1,,,,,,2.12323,48.799639
2024-426609,2024-01-05,000001,Vente,260000,43,,RUE DE LA GUILLAUME,0421,78520,78335,Limay,78,,,78335000AR0219,,,,,,,,,,,,,0,1,Maison,81,5,S,sols,,,549,1.739742,48.999463
2024-426610,2024-01-05,000001,Vente,150000,27,,RUE EMILE REAUBOURG,0750,78200,78361,Mantes-la-Jolie,78,,,78361000AY0343,,,119,,120,,43,63.16,,,,,3,3,Dépendance,,0,,,,,,1.695584,48.999003
2024-426610,2024-01-05,000001,Vente,150000,27,,RUE EMILE REAUBOURG,0750,78200,78361,Mantes-la-Jolie,78,,,78361000AY0343,,,119,,120,,43,63.16,,,,,3,2,Appartement,63,3,,,,,,1.695584,48.999003
2024-426611,2024-01-12,000001,Vente,123980,1,,AV DU MONT CASSEL,1960,78990,78208,Élancourt,78,,,78208000AL0451,,,232,47.9,252,,,,,,,,2,3,Dépendance,,0,,,,,,1.955224,48.763684
2024-426611,2024-01-12,000001,Vente,123980,1,,AV DU MONT CASSEL,1960,78990,78208,Élancourt,78,,,78208000AL0451,,,232,47.9,252,,,,,,,,2,3,Dépendance,,0,,,,,,1.955224,48.763684
2024-426611,2024-01-12,000001,Vente,123980,1,,AV DU MONT CASSEL,1960,78990,78208,Élancourt,78,,,78208000AL0451,,,232,47.9,252,,,,,,,,2,2,Appartement,47,2,,,,,,1.955224,48.763684
2024-426611,2024-01-12,000001,Vente,123980,9001,,SQ DE LA CANCHE,1255,78990,78208,Élancourt,78,,,78208000AL0456,,,448,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.955886,48.764514
2024-426612,2024-01-10,000001,Vente,376000,35,,RUE DU MAL JOFFRE,1245,78100,78551,Saint-Germain-en-Laye,78,,,78551000AP0010,,,19,,52,51.3,,,,,,,2,2,Appartement,50,1,,,,,,2.084878,48.895952
2024-426612,2024-01-10,000001,Vente,376000,35,,RUE DU MAL JOFFRE,1245,78100,78551,Saint-Germain-en-Laye,78,,,78551000AP0010,,,19,,52,51.3,,,,,,,2,3,Dépendance,,0,,,,,,2.084878,48.895952
2024-426612,2024-01-10,000001,Vente,376000,35,,RUE DU MAL JOFFRE,1245,78100,78551,Saint-Germain-en-Laye,78,,,78551000AP0010,,,19,,52,51.3,,,,,,,2,3,Dépendance,,0,,,,,,2.084878,48.895952
2024-426613,2024-01-09,000001,Vente,308000,51,,BD VICTOR HUGO,1920,78300,78498,Poissy,78,,,78498000BD0423,,,19,,7,58.54,,,,,,,2,3,Dépendance,,0,,,,,,2.045624,48.928678
2024-426613,2024-01-09,000001,Vente,308000,51,,BD VICTOR HUGO,1920,78300,78498,Poissy,78,,,78498000BD0423,,,32,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.045624,48.928678
2024-426613,2024-01-09,000001,Vente,308000,51,,BD VICTOR HUGO,1920,78300,78498,Poissy,78,,,78498000BD0423,,,19,,7,58.54,,,,,,,2,2,Appartement,58,3,,,,,,2.045624,48.928678
2024-426614,2024-01-08,000001,Vente,7500,75,,AV CHATEAUBRIAND,0050,78250,78403,Mézy-sur-Seine,78,,,78403000AD0194,,,21,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.874042,48.995163
2024-426615,2024-01-03,000001,Vente,462800,31,,GR GRANDE RUE,0500,78640,78442,Neauphle-le-Château,78,,,78442000AH0094,,,,,,,,,,,,,0,1,Maison,137,4,S,sols,,,275,1.900241,48.81285
2024-426616,2024-01-10,000001,Vente,232550,18,,RUE DE L EGLISE,0120,78950,78263,Gambais,78,,,78263000AV0017,,,,,,,,,,,,,0,1,Maison,65,4,S,sols,,,934,1.665274,48.776571
2024-426617,2024-01-10,000001,Vente,351320,69,,AV DE LA REPUBLIQUE,0450,78550,78381,Maulette,78,,,78381000AA0084,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,279,1.614521,48.793952
